title,summary,link,published,fetch_time,sentiment_compound,sentiment_pos,sentiment_neu,sentiment_neg,sentiment_label
"Pornhub, Stripchat, XNXX e XVideos são alvo de investigação da UE",,https://br.investing.com/news/stock-market-news/pornhub-stripchat-xnxx-e-xvideos-sao-alvo-de-investigacao-da-ue-1563847,2025-05-27 16:20:43,2025-05-27 15:43:37,0.0,0.0,1.0,0.0,Neutro
"Nippon Steel pode oferecer a Washington golden share na U.S. Steel, diz Nikkei",,https://br.investing.com/news/stock-market-news/nippon-steel-pode-oferecer-a-washingtongolden-share-na-us-steel-diz-nikkei-1564240,2025-05-27 16:30:45,2025-05-27 15:51:59,0.296,0.155,0.845,0.0,Positivo
"Salesforce negocia compra da Informatica por US$8 bi, diz WSJ",,https://br.investing.com/news/stock-market-news/salesforce-negocia-compra-da-informatica-por-us8-bi-diz-wsj-1563889,2025-05-27 16:26:51,2025-05-27 15:51:59,0.0,0.0,1.0,0.0,Neutro
Xiaomi tem alta de 47% na receita do 1º tri,,https://br.investing.com/news/stock-market-news/xiaomi-tem-alta-de-47-na-receita-do-1o-tri-1563841,2025-05-27 16:26:35,2025-05-27 15:51:59,0.0,0.0,1.0,0.0,Neutro
Ibovespa recupera 140 mil pontos e renova máxima com IPCA-15 e NY,,https://br.investing.com/news/stock-market-news/ibovespa-recupera-140-mil-pontos-e-renova-maxima-com-ipca15-e-ny-1564254,2025-05-27 16:26:10,2025-05-27 15:51:59,0.0,0.0,1.0,0.0,Neutro
Iceberg Research assume posição vendida na TMC the metals company,,https://br.investing.com/news/stock-market-news/iceberg-research-assume-posicao-vendida-na-tmc-the-metals-company-93CH-1564525,2025-05-27 19:03:34,2025-05-27 16:05:03,0.0,0.0,1.0,0.0,Neutro
Ações da Masimo sobem após atualização sobre incidente de cibersegurança,,https://br.investing.com/news/stock-market-news/acoes-da-masimo-sobem-apos-atualizacao-sobre-incidente-de-ciberseguranca-93CH-1564524,2025-05-27 19:03:15,2025-05-27 16:05:03,0.0,0.0,1.0,0.0,Neutro
MPT entra com ação contra BYD por trabalho análogo à escravidão e tráfico de pessoas,,https://br.investing.com/news/stock-market-news/mpt-entra-com-acao-contra-byd-por-trabalho-analogo-a-escravidao-e-trafico-de-pessoas-1564357,2025-05-27 18:55:43,2025-05-27 16:05:03,0.0,0.0,1.0,0.0,Neutro
Justiça homologa plano de recuperação judicial da AgroGalaxy e encerra 8 meses de negociação,,https://br.investing.com/news/stock-market-news/justica-homologa-plano-de-recuperacao-judicial-da-agrogalaxy-e-encerra-8-meses-de-negociacao-1564510,2025-05-27 18:53:39,2025-05-27 16:05:03,0.0,0.0,1.0,0.0,Neutro
"Leilão nos EUA de US$ 69 bi em T-notes de 2 anos tem juro de 3,955% e demanda abaixo da média",,https://br.investing.com/news/stock-market-news/leilao-nos-eua-de-us-69-bi-em-tnotes-de-2-anos-tem-juro-de-3955-e-demanda-abaixo-da-media-1564493,2025-05-27 18:10:09,2025-05-27 16:05:03,0.0,0.0,1.0,0.0,Neutro
Citadel Securities registra lucros e receitas recordes no 1º tri,,https://br.investing.com/news/stock-market-news/citadel-securities-registra-lucros-e-receitas-recordes-no-1o-tri-93CH-1564470,2025-05-27 17:41:51,2025-05-27 16:05:03,0.0,0.177,0.645,0.177,Neutro
Musk deve atualizar planos para Marte antes do novo teste da Starship,,https://br.investing.com/news/stock-market-news/musk-deve-atualizar-planos-para-marte-antes-do-novo-teste-da-starship-1564467,2025-05-27 17:40:36,2025-05-27 16:05:03,0.0,0.0,1.0,0.0,Neutro
"Southwest Airlines elevada para ""Hold"" pela Jefferies após reuniões com executivos",,https://br.investing.com/news/stock-market-news/southwest-airlines-elevada-para-hold-pela-jefferies-apos-reunioes-com-executivos-1564463,2025-05-27 17:38:40,2025-05-27 16:05:03,0.0,0.0,1.0,0.0,Neutro
S&P Global Ratings revisa perspectiva do Grupo Doha Insurance para positiva,,https://br.investing.com/news/stock-market-news/sp-global-ratings-revisa-perspectiva-do-grupo-doha-insurance-para-positiva-93CH-1564435,2025-05-27 17:08:25,2025-05-27 16:05:03,0.0,0.0,1.0,0.0,Neutro
Estudo financiado pela Qualcomm revela que modem próprio da Apple fica aquém em testes 5G,,https://br.investing.com/news/stock-market-news/estudo-financiado-pela-qualcomm-revela-que-modem-proprio-da-apple-fica-aquem-em-testes-5g-1564412,2025-05-27 16:38:59,2025-05-27 16:05:03,0.0,0.0,1.0,0.0,Neutro
